,Ivy Nunchuck Joystick Adapter,,,,,,,Filament (g),,Unit Cost,Total Cost,Total Print time (hr),,,,
,Version: V1.0,Last updated:, 2023-Sep-29,,,,,23,, $41.49 , $40.80 ,1:48,,,,
,Commercial Parts,,,,,,,,1.35,,,,,,,
ID,Part,Description,Manufacturer,Supplier,Supplier PN,QTY,QTY/PKG,PKGs,$/PKG,Unit Cost,Total Price,,Link,,,
8,Wii Nunchuk Controller,,Ostent,Amazon,,1,1,1, $11.49 , $11.49 , $11.49 ,,https://www.amazon.ca/dp/B00FJ2LMGK,,,
2,Adafruit Wii Nunchuk Breakout,,Adafruit,Digikey,1528-4836-ND,1,1,1, $4.24 , $4.24 , $4.24 ,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4836/13577615,,,
3,Qwiic Cable - 50 mm,,Sparkfun Electronics,Digikey,1568-1710-ND,1,1,1, $1.37 , $1.37 , $1.37 ,,https://www.digikey.ca/en/products/detail/sparkfun-electronics/PRT-14426/7652739,,,
1,Adafruit QT PY - SAMD21,,Adafruit,Digikey,1528-4600-ND,1,1,1,10.79, $10.79 , $10.79 ,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4600/13543375,,,
4,"USB C Cable, 2m",,Cvilux USA,Digikey,2987-DH-20M50053-ND,1,1,1, $3.25 , $3.25 , $3.25 ,,https://www.digikey.ca/en/products/detail/cvilux-usa/DH-20M50053/13177348,,,
5,"Light Pipe 0.250""",,Dialight,Digikey,350-3746-ND,1,1,1, $1.66 , $1.66 , $1.66 ,,https://www.digikey.ca/en/products/detail/dialight/51513030250F/4965201,,,
,Shipping,,,Digikey,,1,1,1, $8.00 , $8.00 , $8.00 ,,,,,
,,,,,,,,,,,,,,,,
,3D Printed Parts,ESTIMATED PRICING USING 1KG ROLL COST:,,,,,,, $30.00 ,,,,,,,
,Part,Description,,,,QTY,Mass (g) Per,TotalMass,$/gram,,Total Price,Print Time (hr:Min),Link,,,
6,Enclosure Top,Ivy_Enclosure_Top.stl,,,,1,8,8, $0.03 , $0.24 , $0.24 ,0:36,,,,
7,Enclosure Bottom,Ivy_Enclosure_Bottom.stl,,,,1,15,15, $0.03 , $0.45 , $0.45 ,1:12,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Alternatives (if there are other sources for some parts link them below),,,,,,,,,,,,,,,
,Part,Description,Manufacturer,Supplier,Supplier PN,QTY,QTY/PKG,PKGs,$/PKG,Unit Cost,Total Price,,Link,,,
8,Wii Nunchuk Controller,,Adafruit,Adafruit,342,1,1,1, $16.88 , $16.88 , $16.88 ,,https://www.adafruit.com/product/342,,,
2,Adafruit Wii Nunchuk Breakout,,Adafruit,Adafruit,4836,1,1,1, $3.98 , $3.98 , $3.98 ,,https://www.adafruit.com/product/4836,,,
3,Qwiic Cable - 50 mm,,Adafruit,Adafruit,4399,1,1,1, $1.28 , $1.28 , $1.28 ,,https://www.adafruit.com/product/4399,,,
1,Adafruit QT PY - SAMD21,,Adafruit,Adafruit,4600,1,1,1, $10.13 , $10.13 , $10.13 ,,https://www.adafruit.com/product/4600,,,
4,"USB C Cable, 3ft",,Adafruit,Adafruit,4474,1,1,1, $6.28 , $6.28 , $6.28 ,,https://www.adafruit.com/product/4474,,,
,Adafruit Shipping,,,Adafruit,,1,1,1, $27.00 , $27.00 , $27.00 ,,,,,
,,,,,,,,0,, $-   , $-   ,,,,,
8,Wii Nunchuk Controller,,Ostent,Mouser,485-342,1,1,1, $18.13 , $18.13 , $18.13 ,,https://www.mouser.ca/ProductDetail/Adafruit/342?qs=GURawfaeGuDV1HPrkucg9w%3D%3D,,,
2,Adafruit Wii Nunchuk Breakout,,Adafruit,Mouser,485-4836,1,1,1, $4.28 , $4.28 , $4.28 ,,https://www.mouser.ca/ProductDetail/Adafruit/4836?qs=eP2BKZSCXI4ZoRtk7kHCZA%3D%3D,,,
3,Qwiic Cable - 50 mm,,Sparkfun Electronics,Mouser,485-4399,1,1,1, $1.38 , $1.38 , $1.38 ,,https://www.mouser.ca/ProductDetail/SparkFun/PRT-14426?qs=wd5RIQLrsJiogglVGK6o1w%3D%3D,,,
1,Adafruit QT PY - SAMD21,,Adafruit,Mouser,485-4600,1,1,1, $10.88 , $10.88 , $10.88 ,,https://www.mouser.ca/ProductDetail/Adafruit/4600?qs=hd1VzrDQEGi752M4exorSA%3D%3D,,,
4,"USB C Cable, 3ft",,Adafruit,Mouser,485-4474,0,1,0, $7.18 , $-   , $-   ,,https://www.mouser.ca/ProductDetail/Adafruit/4474?qs=CUBnOrq4ZJz9F%2FNF%252BRRALQ%3D%3D,,,
4,"USB C Cable, 2m",,Adafruit,Mouser,485-5044,1,1,1, $5.73 , $5.73 , $5.73 ,,https://www.mouser.ca/ProductDetail/Adafruit/5044?qs=pBJMDPsKWf0NCabokbqBvw%3D%3D,,,
5,"Light Pipe 0.250""",,Dialight,Mouser,645-515-1303-0250F,1,1,1, $1.35 , $1.35 , $1.35 ,,https://www.mouser.ca/ProductDetail/Dialight/515-1303-0250F?qs=rkevp0fsrts4dv75K85%2FWA%3D%3D,,,
,Mouser Shipping,,,Mouser,,1,1,1, $20.00 , $20.00 , $20.00 ,,,,,
,,,,,,,,0,, $-   , $-   ,,,,,
8,Wii Nunchuk Controller,,Adafruit,Digikey,1528-342-ND,1,1,1, $19.17 , $19.17 , $19.17 ,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/342/10669902,,,
,"USB C Cable, 3ft",,Adafruit,Digikey,1528-4474-ND,1,1,1, $7.59 , $7.59 , $7.59 ,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4474/11587355,,,
